smiles,synergy
Cl[Sb](Cl)Cl,2.468
CC(=O)O.CCCCCCCCCCCCN=C(N)N,2.48
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)o1,2.565
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.5780000000000003
c1cnc2c(c1)ccc1cccnc12,2.5980000000000003
O=[Cr](=O)([O-])[O-].[K+].[K+],2.681
O=[As]c1ccccc1,3.017
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(C(C)O)C(O)C(O)C3N)C2O)OCC1(C)O.O=S(=O)(O)O.O=S(=O)(O)O,3.1430000000000002
c1ccc(-c2ccccn2)nc1,3.333
[Na+].[O-][I+3]([O-])([O-])[O-],3.4930000000000003
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,3.551
O=C1C=C(O)c2ccccc2C1=O,3.613
On1ccccc1=S,3.6239999999999997
Cl.Nc1c2ccccc2nc2ccccc12,3.634
NC(=O)NO,3.717
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],3.728
CC1OC1P(=O)(O)O,3.738
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,3.77
NCC(=O)NO,3.824
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],4.168
O=c1ccc2ccccc2o1,4.171
Oc1cccc2cccnc12,4.208
C1COCCOCCOCCOCCOCCO1,4.2410000000000005
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],4.313
Nc1n[nH]c(N)n1,4.54
O=[Te]([O-])[O-].[K+].[K+],4.607
CCN(CC)CC(=O)Nc1c(C)cccc1C,4.683
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,4.709
[Cl-].[Cl-].[Cl-].[Cr+3],4.861000000000001
O=c1cc(O)c2ccccc2o1,4.869
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,4.947
CCN(CC)C(=S)SSC(=S)N(CC)CC,4.971
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,5.1080000000000005
CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,5.306
CC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c1C)C(OC1OC(CO)C(O)C(O)C1(C)OC1OC(CO)C(O)C(O)(C(N)=O)C1O)c1cnc[nH]1)C(=O)NCCC1=NC(c2nc(C(N)=O)cs2)CS1,5.452999999999999
CC1=CC(=O)c2ccccc2C1=O,5.603
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O.O=S(=O)(O)O,5.614
[N-]=[N+]=[N-].[Na+],5.789
CCCCc1ccc(C(=O)O)nc1,5.867000000000001
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,5.933
O=[As](O)(O)O,6.178999999999999
CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,6.239
CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],6.281000000000001
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],6.321000000000001
O=[Si]([O-])[O-].[Na+].[Na+],6.526
CCCCC(CC)CN=C(N)NC(N)=NCCCCCCN=C(N)NC(N)=NCC(CC)CCCC,6.537000000000001
OCC(O)CS,6.627000000000001
CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,6.7170000000000005
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,6.735
O=[As][O-].[Na+],6.803999999999999
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(OC=O)c3ccccc3)C2SC1.[Na+],6.809
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)[O-])C3SC2)cc1.[Na+],6.926
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,7.042999999999999
NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1,7.192
CC(C)c1nc2nc(N)nc(N)c2nc1C(C)C,7.327000000000001
O=[W](=O)([O-])[O-].[Na+].[Na+],7.367000000000001
C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],7.376
Oc1c(Cl)cc(Cl)c2cccnc12,7.385
CS(=O)(=O)O.OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,7.497000000000001
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,7.528
NO,7.557
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,7.596
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],7.729
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],7.744
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,7.7829999999999995
Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,7.816
CC(C)NCC(O)COc1cccc2ccccc12.Cl,7.962000000000001
CCCCCCCCCCCC[N+](C)(C)C.[Br-],7.997999999999999
CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O,8.02
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)=CCC3N)C2O)OCC1(C)O,8.033
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,8.055
O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,8.097999999999999
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,8.127
CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,8.129
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,8.238
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,8.305
Nc1ccc2cc3ccc(N)cc3nc2c1,8.375
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21.O.O.O,8.43
O=NO,8.493
CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,8.503
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,8.519
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,8.64
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,8.651
Cc1ccccc1C(OCCN(C)C)c1ccccc1,8.693
[Cl-].[Cs+],8.775
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,8.812999999999999
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,9.019
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],9.14
[Cl-].c1ccc(-c2nn(-c3ccccc3)[n+](-c3cccc4ccccc34)n2)cc1,9.156
O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+],9.263
O=C(O)c1[nH]c(=O)[nH]c(=O)c1F,9.367
Oc1c(I)cc(Cl)c2cccnc12,9.587
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,9.668
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)[O-])c2ccccc2)C(=O)C1=O.[Na+],9.802
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,10.123
Nc1ccncc1,10.525
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,10.597000000000001
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,10.850999999999999
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,10.884
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,10.925999999999998
